County,Orthodox,Roman_Catholic,Reformed,Pentecostal,Greek_Catholic,Baptist,Seventh-day_Adventist,Islam,Unitarian,Jehova_Witnesses,Evangelical,Old_Calendarists,Evangelical_Lutheran,Serbian_Orthodox,Romanian_Evangelical,Evangelical_Augustan,Judaism,Armenian_Apostolic,Other_Religion,Without_religion,Atheists,Regiune
ab,0.8773385538081351,0.010410863401380022,0.03441342799075005,0.019953376761209965,0.028888978801676943,0.00943358055891864,0.0015094973840565952,0.00017118011571775824,0.004596964198456889,0.0053283701474327655,0.0025396904441034674,0.0002925623795903504,0.0007749790693403963,4.979785184516603e-05,0.0009554962822791232,0.0005259898101145662,4.3573120364520276e-05,0.0,0.0009212602591355715,0.001444137703509815,0.0004077199119822969,
ag,0.9798037986191473,0.0013101616545761346,0.000137643442309555,0.005327311007906851,0.00013594414055264693,0.00040613311990103266,0.001430812079316609,0.000334762446110893,5.0979052707242595e-06,0.0003381610496247092,0.006798906329389254,0.00015463645987863587,3.568533689506981e-05,8.496508784540433e-06,0.0025778407652295673,4.4181845679610245e-05,2.7188828110529383e-05,1.6993017569080866e-05,0.00023620294421022403,0.0003415596531385254,0.0005284828463984149,
ar,0.7385436734532164,0.0881764469911202,0.024259727910696863,0.07161782695041082,0.010509164565989333,0.03639578246722696,0.011192606936444811,0.00030953005908309765,0.00014857442835988687,0.002528241522590742,0.0005819165110762236,0.00015600314977788122,0.008273119419173035,0.001619461269122767,0.000611631396748201,0.00032933998286441594,0.0003045775781377681,0.0,0.0021147093636557234,0.0013371698552389819,0.0009904961890659127,
b,0.9558984910423889,0.01333302833531883,0.0007771429672173286,0.003039947315606126,0.0024175105781137035,0.002013588865485642,0.0024385795199050333,0.0054400007705213,6.200288584305564e-05,0.001079933759247008,0.0011407327055591306,0.0006423017397528192,0.00024981745266862226,0.0002823238200038165,0.0010709042127650097,0.00021129138767876244,0.0008782738878157105,6.501273467038844e-05,0.002295310715723992,0.0018077152056960788,0.004856090098018737,
bc,0.812543168945987,0.16660623014228484,0.0001554082055532532,0.00946263296035364,0.0002521066445641663,0.0010412349772067964,0.0036935350186489847,0.00020375742505870977,1.0360547036883547e-05,0.0007321453239397706,0.001296795137449924,0.002674747893355436,3.280839895013123e-05,5.007597734493715e-05,0.0002970023483906617,3.798867246857301e-05,8.461113413454897e-05,5.1802735184417735e-06,0.0002486531288852051,0.00022620527697195746,0.00034535156789611824,
bh,0.5900461662204299,0.08876438333021151,0.17488990990792466,0.0697029128424362,0.0223412186853829,0.040276997322579576,0.003340348248291262,0.0004003276075467263,0.00047745494478049926,0.00230096556080756,0.0011036554685118463,0.0001928183430844324,0.0005307095347752473,5.509095516698068e-06,0.00022954564652908618,7.16182417170749e-05,0.00025525475894034384,9.181825861163448e-06,0.0025470384938867403,0.0016251831774259302,0.0008888007433606217,
bn,0.8276680505804039,0.011056703948353362,0.04257999496094734,0.07395722647620508,0.01921412687458236,0.008022317891192978,0.0056415480846122665,0.00018622585910370589,0.0001752713968034879,0.005824122456282567,0.0007777668233154776,8.763569840174395e-05,0.0009457352452521535,0.0,0.0005331171652772758,0.00043452700457531374,0.00010589313556877394,0.0,0.0014532919984955872,0.0009493867326855594,0.00038705766794103576,
br,0.982747865349515,0.0026371638771259865,5.610986972608482e-05,0.0028715050977466934,0.000326757476640141,0.00151496648260429,0.002188284919317308,0.0007327288870112253,0.0,0.00043237605494806535,0.00013202322288490546,0.005092795822785228,1.3202322288490546e-05,7.591335315882063e-05,2.640464457698109e-05,2.3104064004858455e-05,8.911567544731118e-05,1.980348343273582e-05,0.00016832960917825447,0.0003894685075104711,0.0004620812800971691,
bt,0.9528023373789926,0.0014214478425269733,1.7799883537904853e-05,0.028462013777109857,0.00010425646072201413,0.002896295335667661,0.005978218028230615,0.00011188498223825907,0.0,0.001457047609602783,0.004737311861588106,0.0009713650730685219,1.0171362021659915e-05,1.7799883537904853e-05,1.5257043032489874e-05,7.628521516244937e-06,0.0001551132708303137,1.2714202527074894e-05,0.00030514086064979744,0.00027208393407940275,0.00024411268851983798,
bv,0.8541876214730264,0.034608747419762144,0.022219714670926045,0.02085396388737031,0.006587510189629243,0.003258735843954218,0.004217874214741938,0.00043579512181835515,0.009817063324533125,0.004747054005521369,0.004575848779092729,0.0005953272646268601,0.02016914298165575,0.00020816999122573216,0.0036225469501150773,0.0034688513491166395,0.00013813148950492506,0.0,0.002589479049733173,0.0020097158965998252,0.0016887060970461262,
bz,0.985383573566166,0.001061151162844816,3.257920236804259e-05,0.004677442625697544,0.00011868138005501231,0.0004351650602017118,0.006136525474609166,0.00016289601184021297,0.0,0.00022107315892600331,0.0007330320532809584,6.981257650294842e-06,0.0,0.0,0.00039095042841651113,6.981257650294842e-06,9.308343533726456e-06,0.0,0.00012100846593844392,0.0002140919012757085,0.00028855864954552014,
cj,0.7313697027036636,0.03487910113888103,0.11387573566582104,0.03242263044879673,0.03580356273275794,0.011013151161837978,0.005288600522830955,0.0014887232690693392,0.010935855041948604,0.008918426312835948,0.0012197327718543184,0.00027826603160174563,0.0007435886733357759,0.00020715360130352177,0.0003277355483309449,0.00011749010223184816,0.00025507719563493353,7.729611988937379e-05,0.004880477009815061,0.0030748396491992896,0.002822854298359931,
cl,0.9834095320936449,0.0009865175928970734,2.828724280708454e-05,0.0071496006194906175,0.0001202207819301093,0.0005763525721943475,0.0031823148157970106,0.002118007305180455,0.0,0.0005056344651766362,0.0007496119343877403,0.00016265164614073612,0.0,0.0,0.00016618755149162167,0.0,0.0,0.0,0.000473811317018666,0.00014497211938630826,0.00022629794245667632,
cs,0.8338462785974664,0.06158660420406253,0.0034241400027275174,0.03303613223298895,0.0065939574433579425,0.03980700971954487,0.001898204630144964,0.00011794669546531815,1.1057502699873576e-05,0.0008403702051903918,0.0005971051457931731,0.000287495070196713,0.00012900419816519172,0.014474271034134512,0.0003980700971954487,0.0001437475350983565,0.00011426086123202694,0.0,0.0014190461798171089,0.0007261093439583648,0.0005491893007603876,
ct,0.9084126197291204,0.00622671378543902,0.0001998816700513296,0.004151142523626013,0.0003949661800214273,0.0019668356333050834,0.0022850472520268,0.06919103890496826,0.0,0.00045253210099621027,0.00014231574907654668,0.004483745622591426,4.637254745190847e-05,0.0003693813262548571,0.00022226841709707852,2.7183907126980828e-05,4.637254745190847e-05,3.677822728944465e-05,0.0004397396741129252,0.00020148072341174026,0.0007035834785806802,
cv,0.21366925204218468,0.36219981235969956,0.3329829404512209,0.023165226617415182,0.0010806509448327694,0.002215334436907177,0.004273483281838678,0.00010315304473403707,0.042602207475157305,0.006159710385546785,0.00037822783069146925,4.4208447743158746e-05,0.004067177192370605,0.0,0.00044699652718082727,0.0005452375221656245,2.9472298495439163e-05,0.0,0.0019206114519527853,0.0038412229039055707,0.00027507478595743216,
db,0.9648057742309332,0.0016032858352398624,0.00010408347494690742,0.014139339750479886,9.407544850970478e-05,0.0005604494804833476,0.008366710101501404,0.0002421942397803038,0.0,0.0003222584512779249,0.00520017053677049,8.406742207250215e-05,1.6012842299524218e-05,8.406742207250215e-05,0.0033947225674991342,4.0032105748810545e-05,0.0,0.0,0.0003362696882900086,0.00021417176575613643,0.00039231463633834334,
dj,0.9896100990731863,0.0009747523170341963,3.355704697986577e-05,0.00294982422499201,9.587727708533077e-05,0.0008053691275167785,0.0023537871524448705,0.00046500479386385425,0.0,0.0006152125279642058,0.0009635666347075743,0.00010226909555768616,2.7165228507510387e-05,0.0001693831895174177,0.00018696069031639502,1.9175455417066155e-05,3.675295621604346e-05,0.0,0.0001901565995525727,0.00014221796100990732,0.0002588686481303931,
gj,0.9840346342488149,0.002030682485896347,0.00013700256651474603,0.007166756479460271,0.0001613585783395898,0.0019697924563342375,0.0015344287449651558,0.00012786906208042963,9.133504434316402e-06,0.0008220153990884763,0.000937706455256484,8.52460413869531e-05,2.740051330294921e-05,9.133504434316402e-06,0.00032880615963539053,0.0,0.0,0.0,0.00016744758129580073,0.00021920410642359368,0.00023138211233601555,
gl,0.9714247485761301,0.0029216292426529913,0.00014578191026224768,0.01526116929074105,0.0002795817457084202,0.0006849752769856295,0.004507257143313603,0.00036944730682898384,0.0,0.00042536365597066787,0.0007229185139032008,0.0014458370278064017,0.0,5.79133616110299e-05,9.785361099794707e-05,1.7973112224112726e-05,0.00013180282297682667,3.7943236917571315e-05,0.00028157875817776606,0.0003474801696661794,0.0008387452371252606,
gr,0.9842562432138979,0.0013591186229622713,7.213199395609819e-05,0.0019058032087348048,0.00012907830497407044,0.0016210716536449435,0.005311192607609545,0.0004138098600639317,0.0,0.0005390917443034706,0.002854908392367676,4.935346954890929e-05,1.1389262203594451e-05,0.00020121029893016863,0.0007099306773573874,0.0,0.0,0.0,0.00010250335983235006,4.935346954890929e-05,0.0004138098600639317,
hd,0.8609303594049085,0.03913157619735792,0.019651172570939204,0.039180003211475675,0.009218974213889378,0.014087163527831514,0.0024621313493550286,0.0002752693434061523,0.0012845902692287107,0.006038084023418285,0.002008446690778222,0.00032369635752390127,0.0003517330499078612,7.646370650170896e-06,0.00043074554662629383,0.00024213507058874504,0.00014018346191979977,0.0,0.0018198362147406734,0.0014502616333157466,0.0009659914921382566,
hr,0.12476608429245674,0.6646120725345699,0.12174877867019955,0.00183158069056885,0.001606359195164362,0.00265960089426182,0.0016030471143495901,6.292953548066573e-05,0.06958350583754244,0.005670282354889459,0.000861141011840689,1.3248323259087522e-05,0.00042063426347602883,0.0,0.0002384698186635754,9.273826281361265e-05,1.9872484888631284e-05,0.0002053490105158566,0.0015732383870166431,0.002106483398194916,0.00032458391984764427,
if,0.9604105693876136,0.01836188362577155,0.00021915528122615994,0.0039198280047159995,0.0005659199667105902,0.001750468132325404,0.0023552257438102502,0.004055759761425896,8.322352451626326e-06,0.00100423052916291,0.0012289340453568208,0.0003023788057424232,4.715999722588252e-05,5.27082321936334e-05,0.0007795270129689993,7.21270545807615e-05,0.0002468964560649143,1.9418822387128095e-05,0.002599348082391289,0.0007795270129689993,0.0012206116929051945,
il,0.9794581442141219,0.0005459111256687411,6.238984293357041e-05,0.014462745465038292,1.5597460733392603e-05,0.0003314460405845928,0.0024955937173428166,0.00035874159686802987,0.0,0.0003899365183348151,5.849047775022226e-05,0.0012594949542214528,0.0,5.849047775022226e-05,8.968539921700747e-05,1.5597460733392603e-05,0.0,0.0,0.0001442765117838816,7.018857330026672e-05,0.0001832701636173631,
is,0.9231921927437263,0.04908614807517851,0.00010017865192927387,0.0063599530273432065,0.0002546207403202378,0.0012494504087845546,0.0029385737899253668,0.0009308266408428364,4.174110497053078e-06,0.0008598667623929341,0.005239900043967297,0.0049324072373510535,2.9218773479371546e-05,8.348220994106157e-06,0.00033671158009561494,1.5305071822527953e-05,0.0003547993922495116,0.0,0.0022818470717223495,0.000608028762404065,0.0012174488949738143,
mh,0.9739734716490293,0.005355450998024826,0.0001645978192796236,0.006941210476450468,0.00024087485748237598,0.0056846466365840734,0.001324811716153068,0.0002047436288600196,0.0,0.000642332953286336,0.00046167681017455397,5.21895524545148e-05,0.0,0.0034967000144524914,0.0005660559150835835,3.61312286223564e-05,2.81020667062772e-05,0.0,0.0002970789908949304,0.0001485394954474652,0.00038138519101376197,
mm,0.7948026144720496,0.05054482983929576,0.03606789093180015,0.0367524007849639,0.048524636798627424,0.004618219074267097,0.00764961985256369,0.00010000955646872923,0.00013556850987983296,0.01321904093057781,0.0017823925397315744,0.001044544256451172,0.00023557806634856218,0.00013779094446802695,0.00019112937458468253,2.6669215058327796e-05,0.000131123640703445,0.0,0.001980189218080839,0.0013601299679747176,0.0006956220261047167,
ms,0.5350619737182708,0.09234769235454449,0.2628991366314924,0.01779650693587928,0.021028428730223987,0.003500296925677219,0.017065612961186485,0.0002740852405097985,0.023158299453352214,0.013256970139935742,0.001989021363421802,0.0001503662083352367,0.0013076150015988305,0.00017511001477014907,0.0015836036118343916,0.0009136174683659951,0.0001313325110776118,2.284043670914988e-05,0.002394439115009212,0.0041341190443561285,0.0008089321334490582,
nt,0.8769967514658702,0.10145680300360675,5.597060871395213e-05,0.0035283871733275424,0.0002731365705240864,0.0007701555759039813,0.002950770491399556,0.00015447888005050788,6.7164730456742555e-06,0.000394033085346223,0.0013231451899978284,0.00895529739423234,8.955297394232341e-06,0.00021940478615869235,6.268708175962639e-05,2.2388243485580852e-05,0.00013209063656492704,0.0,0.002415691472094174,7.835885219953298e-05,0.0001947777183245534,
ot,0.9939701534803445,0.00036862624472388427,4.150096794904658e-05,0.0009471985626017689,0.00010741426998576761,0.000849549226251071,0.002404614907635934,0.00012206167043837228,0.0,0.0004662755810745821,0.00022947594042413988,0.0,0.0,0.0,0.00012694413725590717,0.0,7.323700226302337e-06,0.0,0.00010741426998576761,0.00019041620588386077,6.103083521918614e-05,
ph,0.9724504043005048,0.0024300422693340155,0.0001449546879850341,0.007346194187317012,0.0004280265786727894,0.0012198073743646266,0.006178351701097963,0.0004868289521006806,2.1879952903401376e-05,0.00036512171407551046,0.005025551682500003,8.75198116136055e-05,4.92298940326531e-05,4.786239697619051e-05,0.002027998134734015,0.00016956963500136066,4.5127402863265334e-05,0.0,0.00015862965854965998,0.0006030662019000004,0.0007138334634734699,
sb,0.8978965559940347,0.013370625003364865,0.015551057105785951,0.01323333853765687,0.02042876447564646,0.008347555493342953,0.0040701399245193625,0.00025303779954022494,0.0016716646118561669,0.002484615840166251,0.006543988198747732,0.00035263778446563264,0.005160355975729907,1.8843240391293347e-05,0.0037255778145071417,0.00332179409183657,5.652972117388004e-05,3.230269781364574e-05,0.0013217187188750048,0.001098291725663955,0.0010606052448813683,
sj,0.6440883596352879,0.024838315306151017,0.1965273954065682,0.048332757832258544,0.026658143029126575,0.038650341101042436,0.0036396554459511166,9.799072354483776e-05,0.00015865164764402304,0.008534525398262298,0.0034856700232378003,0.00010265694847554432,2.7997349584239357e-05,4.66622493070656e-05,0.000816589362873648,5.132847423777216e-05,0.0,0.0,0.0023704422647989323,0.001217884706914412,0.00035463309473369856,
sm,0.49655785855254014,0.1839144359922293,0.18635435680290072,0.030854188479249863,0.07586918318245975,0.0059268456147828314,0.0026252312519882267,0.00012662880156649094,0.00029340819875162534,0.011825894663368142,0.0016029353173904583,6.177014710560533e-05,0.0003057622281727464,0.0,0.0002964967061069056,9.2655220658408e-06,0.00027178864726466344,0.0,0.0011365707067431381,0.001516457111442611,0.0004509220738709189,
sv,0.872918898904606,0.011522443616536746,0.00011632212381261325,0.07824710751113252,0.001861153981001812,0.005006766343258396,0.00628794804496915,0.00010485374540855279,0.0,0.0026164286158977938,0.006389525110833685,0.004788867153581247,2.293675680812092e-05,0.0,9.502370677650096e-05,6.553359088034549e-06,0.00011959880335663053,1.4745057948077736e-05,0.009117360831228067,0.0004947786111466084,0.0002686877226094165,
tl,0.9323368457088773,0.0016714410137390438,5.034460884756156e-05,0.0011982016905719651,0.00011075813946463542,0.0008508238895237904,0.0016110274831219698,0.01648785939757641,0.0,0.0003423433401634186,0.0002819298095463447,0.0442428422552371,0.0,6.544799150183003e-05,0.0,1.5103382654268468e-05,2.517230442378078e-05,0.0,0.000322205496624394,0.00011579260034939158,0.0002718608877768324,
tm,0.8028265488041585,0.08628187341908317,0.014787652910943465,0.04127507913482423,0.013061793975787354,0.013713539054874721,0.0031036986533238206,0.0017306046517514067,0.00018350104168479267,0.002069132435549214,0.0011168253054264106,0.0009950185794804706,0.0005093735812284762,0.010669952811757987,0.000756150844183887,0.0001993200970024472,0.00034960112252016535,7.90952765882727e-06,0.0033805321213827753,0.001292416819452376,0.0016894751079255049,
tr,0.9837715816209771,0.00014973993281479996,1.6951690507335844e-05,0.0010340531209474865,1.1301127004890563e-05,0.0010679565019621582,0.011419788838441913,0.00014691465106357731,0.0,0.0005565805049908602,0.0012459492522891844,8.475845253667922e-06,0.0,7.345732553178866e-05,0.00021189613134169806,0.0,0.0,0.0,4.237922626833961e-05,0.0001384388058099094,0.00010453542479523771,
vl,0.9913138780731066,0.0012988330224774183,0.00013805383536094035,0.0022567575943696575,0.00048177971115756735,0.0005522153414437614,0.0024596122095938964,0.00025638569424174637,1.6904551268686572e-05,0.0003296387497393882,0.00020567204043568662,8.17053311319851e-05,1.6904551268686572e-05,2.535682690302986e-05,3.3809102537373145e-05,1.9721976480134334e-05,8.452275634343286e-06,0.0,6.480077986329854e-05,0.00017186293789831349,0.0002676553950875374,
vn,0.959084552764321,0.013559406682315337,2.8092693402587025e-05,0.0185442990560855,0.00014046346701293512,0.00033399091045297906,0.002025795335364331,0.00017792039154971784,0.0,0.0006305248963691754,0.002275508165609549,0.0018759676372172003,3.121410378065225e-05,9.364231134195674e-06,0.0003964191180142836,9.364231134195674e-06,4.682115567097838e-05,0.0,0.0005306397642710882,9.364231134195676e-05,0.00020601308495230486,
vs,0.9629935609281983,0.013685389921570215,1.3499102309696406e-05,0.01126365096721068,9.98933570917534e-05,0.000345577019128228,0.0019465705530582217,8.099461385817843e-05,0.0,0.0005696621174691883,0.004748984192551195,0.003239784554327137,1.8898743233574966e-05,0.0,0.00032127863497077446,7.289515247236058e-05,5.399640923878562e-05,0.0,0.00011609227986338908,0.00024028402111259602,0.00018898743233574966,
